sample_name	sample_name_original	barcode_prefix	sample_type	emp500_shotgun_assembly_sample_name	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	lcms_sampling_material	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_pi_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	empo_4	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	read_count_shotgun_woltka_norm	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	alpha_shotgun_woltka_norm_10perc_min6550_richness	alpha_shotgun_woltka_norm_10perc_min6550_shannon	alpha_shotgun_woltka_norm_10perc_min6550_faithspd	alpha_shotgun_woltka_norm_10perc_rar6550_richness	alpha_shotgun_woltka_norm_10perc_rar6550_shannon	alpha_shotgun_woltka_norm_10perc_rar6550_faithspd	alpha_shotgun_woltka_norm_noSingletons_min6550_richness	alpha_shotgun_woltka_norm_noSingletons_min6550_shannon	alpha_shotgun_woltka_norm_noSingletons_min6550_faithspd	alpha_shotgun_woltka_norm_noSingletons_rar6550_richness	alpha_shotgun_woltka_norm_noSingletons_rar6550_shannon	alpha_shotgun_woltka_norm_noSingletons_rar6550_faithspd	alpha_lcms_cmn_microbial_shannon	alpha_lcms_cmn_microbial_richness	alpha_lcms_cmn_shannon	alpha_lcms_cmn_richness	alpha_lcms_fbmn_microbial_richness	alpha_lcms_fbmn_microbial_noSingletons_richness	alpha_gcms_filt50_shannon	alpha_gcms_filt50_richness	songbird_trainTest_5050_empo_3	songbird_trainTest_5050_env_material	songbird_trainTest_8020_empo_3	songbird_trainTest_8020_env_material	songbird_trainTest_8020_empo_4
13114.Kshtrika1.misc.2069	Kshtrika1.misc.2069	no.barcode.assigned	oil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	1/13/16 0:00	Missing: Restricted access	not applicable	subsurface oil from Biota	845.9	Kshtrika	1	Kshtrika1	Biota oil (B2014.1 and B2016.1)	EMP sample	Free-living	Non-saline	Subsurface (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Aqueous (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	desert biome	oil reservior	petroleum	misc environment	misc environment	United States of America:State of Texas:City of Midland	Kshtrika1.misc.2069	not applicable	32	-102.1	B2014.1/B2016.1	oil field metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Train	Train	Train
13114.Kshtrika1.misc.360	Kshtrika1.misc.360	no.barcode.assigned	oil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	7/30/16 0:00	Missing: Restricted access	not applicable	subsurface oil from Biota	1033.4	Kshtrika	1	Kshtrika1	Biota oil (B2014.1 and B2016.1)	EMP sample	Free-living	Non-saline	Subsurface (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Aqueous (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	desert biome	oil reservior	petroleum	misc environment	misc environment	United States of America:State of New Mexico:City of Artesia	Kshtrika1.misc.360	not applicable	32.8	-104.4	B2014.1/B2016.1	oil field metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Train	Train	Test	Train
13114.Kshtrika1.misc.362.P1	Kshtrika1.misc.362.P1	no.barcode.assigned	oil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	7/30/16 0:00	Missing: Restricted access	not applicable	subsurface oil from Biota	1033.4	Kshtrika	1	Kshtrika1	Biota oil (B2014.1 and B2016.1)	EMP sample	Free-living	Non-saline	Subsurface (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Aqueous (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	desert biome	oil reservior	petroleum	misc environment	misc environment	United States of America:State of New Mexico:City of Artesia	Kshtrika1.misc.362	not applicable	32.8	-104.4	B2014.1/B2016.1	oil field metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Train	Test	Train
13114.Kshtrika1.misc.362.P5	Kshtrika1.misc.362.P5	no.barcode.assigned	oil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	7/30/16 0:00	Missing: Restricted access	not applicable	subsurface oil from Biota	1033.4	Kshtrika	1	Kshtrika1	Biota oil (B2014.1 and B2016.1)	EMP sample	Free-living	Non-saline	Subsurface (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Aqueous (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	desert biome	oil reservior	petroleum	misc environment	misc environment	United States of America:State of New Mexico:City of Artesia	Kshtrika1.misc.362	not applicable	32.8	-104.4	B2014.1/B2016.1	oil field metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Train	Train	Test	Train
13114.Kshtrika1.misc.600	Kshtrika1.misc.600	no.barcode.assigned	oil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3/31/16 0:00	Missing: Restricted access	not applicable	subsurface oil from Biota	1033.4	Kshtrika	1	Kshtrika1	Biota oil (B2014.1 and B2016.1)	EMP sample	Free-living	Non-saline	Subsurface (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Aqueous (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	Subsurface (non-saline)	desert biome	oil reservior	petroleum	misc environment	misc environment	United States of America:State of New Mexico:City of Artesia	Kshtrika1.misc.600	not applicable	32.8	-104.4	B2014.1/B2016.1	oil field metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Train	Test	Train
13114.lcms.blank.material.control.01	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_2F5_Blank_Nasco_WhirlPak_1.mzML	Resusp_solvent_2F5_Blank_Nasco_WhirlPak_1	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.02	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2E10_Power_beads_tube.mzML	Resusp_solvent_post_2E10_Power_beads_tube	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.03	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2E11_WaterFilter_GPWP_1.mzML	Resusp_solvent_post_2E11_WaterFilter_GPWP_1	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.04	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2E12_WaterFilter_GPWP_2.mzML	Resusp_solvent_post_2E12_WaterFilter_GPWP_2	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.05	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2E9_CTAB-1_5.mzML	Resusp_solvent_post_2E9_CTAB-1_5	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.06	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2F1_WaterFilter_GPWP_3.mzML	Resusp_solvent_post_2F1_WaterFilter_GPWP_3	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.07	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2F2_Blank_Sterivex_SVGV010RS.mzML	Resusp_solvent_post_2F2_Blank_Sterivex_SVGV010RS	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.08	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2F3_Blank_Ziplock.mzML	Resusp_solvent_post_2F3_Blank_Ziplock	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.09	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2F4_Blank_Ziplock2.mzML	Resusp_solvent_post_2F4_Blank_Ziplock2	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.10	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_2F6_Blank_Nasco_WhirlPak_12.mzML	Resusp_solvent_post_2F6_Blank_Nasco_WhirlPak_12	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.11	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_post_CTAB.mzML	Resusp_solvent_post_CTAB	not applicable	Bulk_201901_UCSD	Material_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.material.control.2	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	2E10_Power_beads_tube.mzML	2E10_Power_beads_tube	2	Filter_201901_UCSD	Material_control	Material_control	Powerbeads	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.solvent.01	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	1B10_Blank.mzML	1B10_Blank	1	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.solvent.02	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	1G11_Blank.mzML	1G11_Blank	1	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.solvent.03	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	1D5_Blank.mzML	1D5_Blank	1	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.solvent.04	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	2A5_Blank.mzML	2A5_Blank	2	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.solvent.05	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	2D5_Blank.mzML	2D5_Blank	2	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.solvent.06	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	not applicable	3B10_Blank.mzML	3B10_Blank	3	Filter_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	Non-saline	Control	Negative	Negative	Sterile water blank	Sterile water blank	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	32.5	-117.25	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
